Year,Number of votes,Title,Screenwriter,Gender,Description,Agency,Agents,Management,Managers,Producer,Financier
2008,67,THE BEAVER,Kyle Killen,M,"Walter Black, a depressed toy manufacturer, loses his family and his business. But then Walter tries on a hand puppet—a chatty British rodent called The Beaver”—and his personality is transformed. It’s all good at first, but things turn ugly when the puppet won’t let go.",WME,Cliff Roberts,Anonymous Content,Keith Redmon,Anonymous Content,
2008,61,THE ORANGES,Jay Reiss & Ian Helfer,M,Two New Jersey families are thrown into comic turmoil when the prodigal daughter returns for Christmas and falls in love with her parents’ best friend.,"CAA, Gersh","Spencer Baumgarten, Greg McKnight, Jessica Matthews, Sandra Lucchesi, Eric Garfinkel,Frank Wuliger","Mosaic Media Group, Principal Entertainment","Paul Nelson, Jimmy Miller, Ilan Breil, Danny Sherman",A Likely Story,Media Rights Capital
2008,44,BUTTER,Jason Micallef,M,"Destiny, a black foster child, faces off against Iowa’s reigning dairy diva, the beautiful but venal Laura Pickler, in an epic butter-carving competition for the ages.",Endeavor,"Phil D’amecourt, Rich Cook",Washington Square Arts,Josh McGuire,Michael De Luca,
2008,42,BIG HOLE,Michael Gilio,M,"Lee, an old, grumpy ex-cowboy, loses $30,000 to a fraudulent sweepstakes company and sets out to punish those responsible. Lee’s son, the local sheriff, is charged with stopping him.",UTA,Julien Thuan,Industry Entertainment ,Eryn Brown,Aversano Films,
2008,40,THE LOW DWELLER,Brad Ingels,M,"Charlie Slim” Hendrick, a don’t-eff-with-me ex-con, returns home to find that his sweetie has moved on and his bitter brother has gambling debts. When a disfigured, dog-loving thug beats his sibling to death, Slim seeks vengeance.",WME ,"Mike Esola, Rob Carlson",Energy Entertainment ,"Brooklyn Weaver, Adam Marshall","Scott Free Productions, Energy Entertainment, Appian Way",Relativity
2008,39,FUCKBUDDIES,Liz Meriwether,F,"Emma and Adam have the best relationship ever! They’re twentysomething pals who, you know, do it. A lot. But then Adam goes and falls in love with Emma and ruins everything. Can their perfect non-union survive?",WME ,Cliff Roberts,,,Montecito Picture Company,
2008,34,WINTER’S DISCONTENT,Paul Fruchbom,M,"After the death of his wife of more than 50 years, irrepressible horndog Herb Winter sets out, at age 75, to find sexual fulfillment with another woman. Or, if possible, several",UTA,"Jon Huddle, David Kramer, Adam Weinstein",Circle of Confusion,Kemper Donovan,Atlas Entertainment,Sony
2008,29,BROKEN CITY,Brian Tucker,M,"The New York mayor asks private eye Billy Taggart to find out if the mayor’s wife is cheating on him. She is, with the campaign director of the mayor’s political rival, no less, who soon turns up dead. Did Billy’s investigation lead to murder?",Endeavor,Sarah Lemkin,Mr. Mudd,Mandate,,
2008,24,I’M WITH CANCER,Will Reiser,M,"Adam, a 25-year-old single Jewish dude, is diagnosed with spinal cancer. Hilarity ensues. Seriously.",UTA,Blair Kohan,Thruline Entertainment ,"Jodi Lieberman, Willie Mercer","Seth Rogen, Evan Goldberg, Ben Karlin",Mandate
2008,22,OUR BRAND IS CRISIS,Peter Straughan,M,A team of American political operatives moves to Bolivia to take on a flailing presidential campaign. Loosely based on the 2006 documentary of the same name.,CAA,Brian Siberell,,,Smoke House,Warner Brothers
2008,21,INGLORIOUS BASTERDS,Quentin Tarantino,M,"American soldiers, French peasants, French resistance, and Nazis collide in Hitler-occupied France.",WME,Mike Simpson,,,Lawrence Bender Productions,"Universal Pictures, The Weinstein Company"
2008,20,UNTITLED VANESSA TAYLOR PROJECT,Vanessa Taylor,F,"After thirty years of marriage, a middle-aged couple attends an intense counseling weekend to decide the fate of their marriage.",UTA,"Doug Johnson, Adam Weinstein",Management 360 ,"Guymon Casady, Darin Friedman","Escape Artists, Management 360",
2008,16,GALAHAD ,Ryan Condal,M,A revisionist twist on the King Arthur legend from the knight Galahad’s perspective.,WME,Aaron Hart,Energy Entertainment ,"Brooklyn Weaver, Adam Marshall",Energy Entertainment ,The Film Department
2008,16,THE WEST IS DEAD,Andrew Baldwin,M,"During the Great Depression, a group of semi-outlaws go on the run from the law when forced to vacate a town as the Hoover dam is constructed.",CAA,"Jay Baker, Josh Krauss",Anonymous Content ,"Bard Dorros, David Kanter",,
2008,15,MANUSCRIPT,Paul Grellong,M,"A contemporary thriller about three bright, young New Yorkers with boundless literary ambition who will stop at nothing to get what they want.",CAA,Chris Till,59 Entertainment ,Marti Blumenthal,Donna Gigliotti,The Film Department
2008,15,THE TUTOR,Matthew Fogel,M,"A twenty three year old recent graduate decides, at his mother+F18s insistence, to tutor                        
his ex-girlfriend’s younger sister for the SATs.  When they begin a romantic                        
relationship, his ex-girlfriend moves back home for the summer and begins to fall back                        
in love with our anti-hero as well.”                        ",UTA,"Jason Burns, Adam Weinstein",,,Principato/Young,
2008,14,THE DESCENDANTS,"Nat Faxon, Jim Rash",M,"A newly widowed father - also one of the richest men in Oahu, Hawaii - takes off with                        
his two rebellious daughters to track down his dead wife’s ex-lover on the island of                        
Kauai.”                        ",CAA,"Jay Baker, Brian Kend",Principato/Young ,"Brian Dobbins, Paul Young",Ad Hominem,Fox Searchlight
2008,14,SUNFLOWER,Misha Green,F,"Two young women struggle to escape from and exact revenge on the deranged college                
professor who holds them hostage.”                ",Endeavor ,Susan Solomon,Niad Management ,Jennifer Graff,Vincent Newman,Sidney Kimmel Entertainment
2008,14,GOING THE DISTANCE,Geoff LaTulippe,M,A couple tries to maintain a long-distance relationship.,Gersh ,Sarah Self,Mosaic Media Group,Michael Lasker,Offspring Entertainment,New Line
2008,13,THE AMERICAN WAY,Brian Kistler,M,"Two brothers are affected by their parents’ murder, leading one to the FBI and the                
other to a life of crime.”                ",WME,"Alan Gasmer, Kimberly Bialek",,,Steve Golin,The Film Department
2008,13,NOWHERE BOY,Matt Greenhalgh,M,"The story of John Lennon’s rise from lonely, Liverpool teenager to iconic rock star.",Endeavor ,"Chris Donnelly, Elia Infascelli-Smith",,,Ecosse Films,Film Four
2008,13,RAINDROPS ALL AROUND ME,"Reed Agnew, Eli Jorne",M,"A socially awkward high school teacher learns to ""dumb it down"" in order to fit in                
with those around him.”                ",ICM ,Harley Copen,Underground Films and Management ,Oly Obst,Red Hour Films,Universal
2008,13,"SEQUELS, REMAKES, & ADAPTATIONS",Sam Esmail,M,"The outlandish journey of a young man in search of love and what he’s meant to do with                        
his life.”                        ",WME ,Mike Esola,Energy Entertainment ,"Brooklyn Weaver, Adam Marshall",WAM Films,
2008,12,A COUPLE OF DICKS,"Mark Cullen, Robb Cullen",M,"Two veteran LAPD detectives attempt to track down a stolen, mint-condition, 1952                
baseball card that one of the detectives hopes to sell in order to pay for his                
daughter’s upcoming wedding.”                ",WME,Cliff Roberts,,,Marc Platt Productions,Warner Brothers
2008,12,GAY DUDE,Alan Yang,M,"A comedy about the friendship of two high school seniors that’s torn apart after one                
comes out of the closet.”                ",WME,Mike Esola,,,,
2008,12,THE MANY DEATHS OF BARNA JAMES,Brian Nathanson,M,"A teenage apprentice in a macabre circus for the dead yearns to bring his true love
back to life, but not before encountering the many dangerous and mysterious gothic
characters that stand in his way.”",CAA,"Jay Baker, Jessica Matthews",Benderspink,"Jill McElroy, Langley Perer",,
